team,model_rank,kenpom_rank,net_ranking,last_ten,record,conference,pointMargin,turnoversForced,reboundsPerGame,pointsPerGame,fieldGoalPct,threePointPct,assistsPerGame,strengthOfSchedule,qualityWins,opponentFieldGoalPct,opponentThreePointPct
Georgia Tech,180,164,165,1-9,11-15,ACC,-1.7000000000000028,10.3,33.7,72,0.447,0.367,15.5,100,137,0.419,0.33
Mercer,122,165,153,7-3,17-10,SC,8.299999999999997,12.4,34.2,79.7,0.453,0.339,13.7,254,181,0.424,0.338
Harvard,84,166,159,7-3,14-10,Ivy,3.200000000000003,11.7,30.4,74.8,0.47,0.363,14.1,252,152,0.439,0.322
New Mexico State,136,167,172,7-3,12-13,CUSA,4.799999999999997,10.8,36.5,77,0.438,0.342,13.8,172,218,0.407,0.309
Texas-Arlington,169,168,157,4-6,14-11,WAC,4.1000000000000085,12.7,34.9,73.2,0.451,0.302,12.9,155,199,0.425,0.277
Montana,134,169,182,5-5,14-12,BSky,4.799999999999997,10.1,31,74.5,0.496,0.359,14.9,167,222,0.429,0.325
Robert Morris,130,170,161,7-3,18-10,Horz,4.6000000000000085,11.2,37.1,81.4,0.473,0.372,18.9,266,214,0.441,0.336
Towson,237,171,176,6-4,14-13,CAA,2.5999999999999943,10.5,37.6,73,0.424,0.294,10.9,149,195,0.423,0.314
Charleston,190,172,164,6-4,17-10,CAA,1.7999999999999972,9.4,35,75.5,0.444,0.292,12.8,199,114,0.415,0.315
Lipscomb,104,173,184,6-4,16-11,ASun,4.699999999999989,13.1,32.7,80.6,0.461,0.366,18.1,260,137,0.452,0.343
Pennsylvania,156,174,168,6-4,13-10,Ivy,2.0999999999999943,11.1,33.1,76.1,0.444,0.377,14.1,182,94,0.456,0.325
Western Kentucky,188,175,175,5-5,14-11,CUSA,2.6000000000000085,11.7,34.4,72.7,0.397,0.328,12.1,176,171,0.423,0.344
Appalachian State,185,176,183,8-2,18-10,SB,7.5,9.6,38.5,76.3,0.439,0.307,13.3,279,191,0.387,0.307
Idaho,157,177,167,4-6,14-12,BSky,5.799999999999997,10.8,33.7,78.8,0.452,0.359,12.9,192,189,0.436,0.346
Utah Tech,147,178,156,7-3,16-11,WAC,3.200000000000003,12,32.7,75.5,0.472,0.343,14.3,133,178,0.435,0.29
Middle Tennessee State,206,179,160,3-7,12-13,CUSA,2.6000000000000085,11,33.9,75.7,0.445,0.344,14.4,110,206,0.439,0.329
Cal State Fullerton,209,180,196,6-4,13-14,BW,0.7999999999999972,13.3,28.8,75,0.451,0.335,14.3,117,178,0.464,0.35
Oregon State,218,181,186,1-9,14-14,WCC,-3.299999999999997,10.3,30.7,73.9,0.424,0.352,13.9,106,235,0.434,0.321
Kennesaw State,173,182,187,5-5,14-11,CUSA,7.900000000000006,10.8,35.5,80,0.449,0.351,13.5,223,189,0.411,0.345
Tulane,212,183,190,4-6,15-10,Amer,-0.8999999999999915,11.5,28.5,71.7,0.429,0.319,12.7,177,133,0.434,0.33
Marshall,120,184,149,6-4,17-10,SB,4,11.1,33.4,78.6,0.463,0.369,16.7,246,167,0.427,0.332
Massachusetts,163,185,191,6-4,15-11,MAC,4.1000000000000085,12.1,33.4,78.4,0.469,0.355,17,269,185,0.45,0.319
Buffalo,123,186,179,2-8,15-10,MAC,3.9000000000000057,11.4,30.4,81,0.476,0.386,14.9,271,112,0.466,0.338
Furman,170,187,194,5-5,17-10,SC,6.699999999999989,9.8,36.4,79.1,0.476,0.321,17,301,142,0.415,0.319
Texas A&M-CC,182,188,199,5-5,14-13,Slnd,5,13.8,33.4,73,0.45,0.339,13.3,137,200,0.426,0.303
Northern Kentucky,217,189,198,1-9,16-11,Horz,5.8999999999999915,13.3,31.4,80.3,0.468,0.337,15,276,240,0.456,0.355
Elon,198,190,193,3-7,14-13,CAA,2.799999999999997,11.4,34,81.6,0.463,0.351,15.6,216,226,0.45,0.359
Columbia,164,191,178,4-6,15-9,Ivy,5.900000000000006,9.6,36.4,79.4,0.486,0.366,16.3,241,162,0.431,0.346
Siena,126,192,188,7-3,18-9,MAAC,5.299999999999997,11.8,32.9,76.1,0.466,0.304,14.4,354,121,0.432,0.329
South Alabama,211,193,173,1-9,19-8,SB,5.299999999999997,12.2,33.9,77.7,0.465,0.344,12.1,274,162,0.385,0.32
Marist,81,194,169,5-5,16-10,MAAC,6.8999999999999915,13,34.6,73.1,0.447,0.321,15.9,345,184,0.402,0.276
Eastern Washington,258,195,222,1-9,9-17,BSky,-3,10.8,29.5,75.4,0.466,0.358,12.7,112,282,0.482,0.357
Tennessee-Martin,151,196,177,7-3,20-7,OVC,9.300000000000011,13.1,39,74.4,0.436,0.316,14.4,349,127,0.387,0.286
Portland,196,197,208,5-5,12-15,WCC,-3.1000000000000085,12,31.5,73.8,0.463,0.3,16.7,92,124,0.444,0.359
New Orleans,219,198,216,6-4,12-15,Slnd,-2.1999999999999886,10.2,33.7,74.9,0.451,0.34,13,130,243,0.425,0.333
Florida International,177,199,197,9-1,12-13,CUSA,3.5999999999999943,13.5,33.9,76.6,0.456,0.354,14.4,194,209,0.426,0.341
Campbell,264,200,206,4-6,12-14,CAA,1.2000000000000028,11.8,31.8,77.7,0.456,0.324,12.2,122,243,0.49,0.366
Charlotte,231,201,189,6-4,13-12,Amer,-0.6000000000000085,9.6,34.2,79.3,0.459,0.357,13.7,183,246,0.449,0.344
Quinnipiac,172,202,201,6-4,18-10,MAAC,4,12.2,34.7,74.6,0.433,0.351,13.7,316,144,0.421,0.343
